,fold
Sec4X3675Y7014_row_img.tif,0
Sec132X2573Y3002_row_img.tif,1
Sec64X3358Y2860_row_img.tif,2
Sec116X1803Y6359_row_img.tif,3
Sec152X1884Y2900_row_img.tif,0
Sec4X4429Y3909_row_img.tif,1
Sec168X4754Y3301_row_img.tif,2
Sec136X2827Y3587_row_img.tif,3
Sec146X3483Y4900_row_img.tif,0
Sec252X9565Y5944_row_img.tif,1
Sec149X4626Y4611_row_img.tif,2
Sec260X4134Y2753_row_img.tif,3
Sec141X1820Y3349_row_img.tif,0
Sec110X3650Y2506_row_img.tif,1
Sec142X6413Y3150_row_img.tif,2
Sec168X9689Y593_row_img.tif,3
Sec256X3221Y2972_row_img.tif,0
Sec130X2211Y2139_row_img.tif,1
Sec137X2156Y3554_row_img.tif,2
Sec26X837Y7486_row_img.tif,3
Sec143X3264Y5910_row_img.tif,0
Sec202X6311Y4296_row_img.tif,1
Sec144X3083Y5254_row_img.tif,2
Sec80X2731Y5324_row_img.tif,3
Sec255X3107Y5836_row_img.tif,0
Sec154X5618Y849_row_img.tif,1
Sec141X3705Y4709_row_img.tif,2
Sec144X2608Y3618_row_img.tif,3
Sec178X8216Y2335_row_img.tif,0
Sec129X2807Y3006_row_img.tif,1
Sec149X1933Y2412_row_img.tif,2
Sec158X5086Y6492_row_img.tif,3
Sec134X3944Y3730_row_img.tif,0
Sec148X2032Y3471_row_img.tif,1
Sec146X3780Y5314_row_img.tif,2
Sec99X8038Y7086_row_img.tif,3
Sec248X9169Y3536_row_img.tif,0
Sec145X1132Y3519_row_img.tif,1
Sec124X2405Y2450_row_img.tif,2
Sec133X5975Y630_row_img.tif,3
Sec135X3222Y2861_row_img.tif,0
Sec238X2365Y6514_row_img.tif,1
Sec0X3935Y1070_row_img.tif,2
Sec128X2312Y3327_row_img.tif,3
Sec151X8449Y650_row_img.tif,0
Sec130X2198Y3250_row_img.tif,1
Sec150X3165Y6096_row_img.tif,2
Sec109X8912Y3406_row_img.tif,3
Sec108X6917Y4976_row_img.tif,0
