,fold
G_PMD2495_G_60_6145_22017_img.tif,0
G_PMD2495_G_120_513_19969_img.tif,1
PTM837_027_1_4609_img.tif,2
PTM837_113_4609_1025_img.tif,3
G_PMD2495_G_120_14849_22529_img.tif,0
G_PMD2495_G_150_18433_11265_img.tif,1
G_PMD2495_G_150_22017_16385_img.tif,2
G_PMD2495_G_150_21505_20481_img.tif,3
PMD1605_110_X9729Y7169G_img.tif,0
G_PMD2495_G_120_22529_8193_img.tif,1
PMD1605_140_X3073Y10241G_img.tif,2
PMD1605_110_X2049Y7169R_img.tif,3
PMD1605_110_X2049Y10753R_img.tif,0
G_PMD2495_G_150_8193_19969_img.tif,1
PTM837_027_1537_5121_img.tif,2
PMD1605_110_X2561Y1537R_img.tif,3
G_PMD2495_G_150_2049_1025_img.tif,0
G_PMD2495_G_60_13825_13825_img.tif,1
G_PMD2495_G_150_17921_11265_img.tif,2
G_PMD2495_G_120_18945_4097_img.tif,3
G_PMD2495_G_150_2561_16897_img.tif,0
PTM837_113_513_9217_img.tif,1
G_PMD2495_G_120_15361_12801_img.tif,2
G_PMD2495_G_150_10753_8193_img.tif,3
PMD1605_034_X3073Y513G_img.tif,0
PMD1605_110_X9217Y8705R_img.tif,1
PMD1605_034_X7681Y513G_img.tif,2
PTM837_027_7681_7681_img.tif,3
PTM837_114_3073_1537_img.tif,0
PTM837_027_4609_1025_img.tif,1
G_PMD2495_G_60_3073_10753_img.tif,2
G_PMD2495_G_150_13825_18433_img.tif,3
G_PMD2495_G_150_15873_21505_img.tif,0
G_PMD2495_G_120_19969_1_img.tif,1
PMD1605_110_X1025Y7681G_img.tif,2
G_PMD2495_G_150_18433_5121_img.tif,3
G_PMD2495_G_120_9729_14849_img.tif,0
G_PMD2495_G_150_6657_9729_img.tif,1
PTM837_114_1_3585_img.tif,2
PMD1605_110_X1537Y8193R_img.tif,3
G_PMD2495_G_120_3585_9729_img.tif,0
G_PMD2495_G_120_22017_16897_img.tif,1
PMD1605_034_X7169Y3585G_img.tif,2
PTM837_027_4097_5121_img.tif,3
G_PMD2495_G_60_9729_5633_img.tif,0
PMD1605_110_X7681Y10753G_img.tif,1
G_PMD2495_G_60_9217_18433_img.tif,2
PMD1605_140_X3073Y12289G_img.tif,3
PMD1605_140_X4097Y1025R_img.tif,0
PMD1605_140_X9217Y1537R_img.tif,1
G_PMD2495_G_60_13313_8705_img.tif,2
G_PMD2495_G_150_15873_4609_img.tif,3
G_PMD2495_G_120_9217_1_img.tif,0
PTM837_027_1537_12801_img.tif,1
PMD1605_140_X3585Y11777R_img.tif,2
G_PMD2495_G_60_3073_9217_img.tif,3
G_PMD2495_G_150_4609_4097_img.tif,0
G_PMD2495_G_120_7681_14337_img.tif,1
G_PMD2495_G_120_1_1_img.tif,2
G_PMD2495_G_60_13825_5121_img.tif,3
G_PMD2495_G_150_15361_19969_img.tif,0
G_PMD2495_G_150_11265_513_img.tif,1
G_PMD2495_G_120_1_23041_img.tif,2
PMD1605_110_X3585Y1025G_img.tif,3
PMD1605_140_X5633Y3585G_img.tif,0
G_PMD2495_G_120_5633_15873_img.tif,1
